feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
Malat1	type	wound	-4.35645957621173	0.120037068218697	5.34464002945391e-157	4.2329549033275e-154	CPLM	1.26	637	254	60
Gm42418	type	wound	-1.31762143641051	0.0529570447989749	6.56752946440465e-96	2.60074166790424e-93	CPLM	1.614	637	626	2
Dmd	type	wound	-1.66811658420524	0.0910876415111283	1.8062924565287e-60	4.76861208523576e-58	CPLM	1.289	637	331	48
Prkg1	type	wound	-1.37591760241926	0.0887830064246429	3.5086374351187e-46	6.94710212153502e-44	CPLM	1.233	637	359	44
Zbtb20	type	wound	-1.57959634636987	0.11355528550159	1.3709437946111e-38	2.17157497066398e-36	CPLM	1.01	637	220	65
Ppp1r12a	type	wound	-2.2853486072946	0.166772741639987	1.24911331719826e-37	1.6488295787017e-35	CPLM	1.01	637	137	78
Myh11	type	wound	-2.700106348207	0.200131967531402	1.17538918433192e-36	1.32986890570126e-34	CPLM	1.17	637	118	81
Adra1a	type	wound	-2.23217172785715	0.172967964668948	5.28541282560496e-34	5.23255869734891e-32	CPLM	1.233	637	116	82
Lpp	type	wound	-1.68588003374972	0.132827772421074	4.67089554947782e-33	4.11038808354048e-31	CPLM	1.01	637	189	70
Ptprd	type	wound	3.10684033979411	0.25088734656961	1.06092921170336e-31	8.4025593566906e-30	CPLM	1.01	637	269	58
Chl1	type	wound	4.17069663010629	0.339083049312544	2.44852674301944e-31	1.762939254974e-29	CPLM	1.01	637	334	48
Lsamp	type	wound	3.1018160210136	0.26653829882906	1.6509653781914e-28	1.08963714960633e-26	CPLM	1.01	637	271	57
Plcb4	type	wound	-1.65241641000231	0.142716365235673	2.91918084834711e-28	1.77845479376224e-26	CPLM	1.177	637	167	74
Macrod2	type	wound	2.15266078753694	0.189380029946018	2.2099940432963e-27	1.25022520163619e-25	CPLM	1.01	637	242	62
Pcdh15	type	wound	2.15057483350517	0.191888112576796	1.0008684114556e-26	5.28458521248554e-25	CPLM	1.01	637	244	62
Synpo2	type	wound	-1.57699072402012	0.146018040056281	4.45614880364678e-25	2.20579365780516e-23	CPLM	1.138	637	168	74
Mylk	type	wound	-1.53403468146786	0.143296402007643	1.06176837837542e-24	4.94659150396077e-23	CPLM	1.01	637	140	78
Fbxw4	type	wound	2.655533737134	0.248250432732976	1.14580562474708e-24	5.04154474888714e-23	CPLM	1.01	637	217	66
Pcdh7	type	wound	-1.4257604448278	0.135860253863847	7.22031972697293e-24	3.0097332756645e-22	CPLM	1.122	637	162	75
Neat1	type	wound	-2.91962019853085	0.280113604173765	1.37218513470922e-23	5.43385313344853e-22	CPLM	1.01	637	134	79
Svil	type	wound	-1.86555814608949	0.179507279815856	1.80123751890619e-23	6.79323864273191e-22	CPLM	1.103	637	109	83
Fhit	type	wound	1.92482865604796	0.188431839371311	8.77057777923149e-23	3.02012939180493e-21	CPLM	1.01	637	205	68
Ccser1	type	wound	2.33417181570537	0.22842855719287	8.5102190776846e-23	3.02012939180493e-21	CPLM	1.01	637	171	73
Nrxn3	type	wound	1.98465571498949	0.196178075385017	2.08990272354569e-22	6.89667898770077e-21	CPLM	1.01	637	203	68
Camk1d	type	wound	-1.42560801354224	0.1411849026374	2.4730124143766e-22	7.83450332874505e-21	CPLM	1.01	637	194	70
Cald1	type	wound	-1.87748070833345	0.18702178485741	4.13419106659411e-22	1.21269604620094e-20	CPLM	1.01	637	131	79
Rbpms	type	wound	-1.97714356118874	0.196913053940655	4.06750222300621e-22	1.21269604620094e-20	CPLM	1.09	637	123	81
Cmss1	type	wound	-1.17390626167983	0.118930404790537	1.78646258903752e-21	5.05313703756326e-20	CPLM	1.01	637	264	59
Tpm1	type	wound	-2.37602187560455	0.246876546154295	1.47189776446053e-20	4.01980354983702e-19	CPLM	1.01	637	100	84
Esyt2	type	wound	-1.89822974126375	0.198561680847028	2.53985344580088e-20	6.55303880994867e-19	CPLM	1.01	637	102	84
Astn2	type	wound	2.09184885387247	0.218841590654602	2.56495205944961e-20	6.55303880994867e-19	CPLM	1.01	637	167	74
Dlg2	type	wound	4.12248959000033	0.434931236097825	5.0410920866277e-20	1.24767029144035e-18	CPLM	1.01	637	243	62
Nfia	type	wound	-1.42371479470597	0.151971976334019	1.26644613963017e-19	3.03947073511241e-18	CPLM	1.01	637	144	77
Asic2	type	wound	2.88251203238304	0.308525526554599	1.56432220979604e-19	3.64395055928959e-18	CPLM	1.01	637	181	72
Rbfox2	type	wound	-1.78199680406594	0.195315405344876	9.50678631914339e-19	2.15124993278902e-17	CPLM	1.01	637	120	81
