feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
Chl1	type	wound	4.89331920173944	0.135144400687048	5.29084854245336e-207	8.2695962718546e-204	CPLM	1.092	1507	221	85
Malat1	type	wound	-1.75173142162429	0.0512270343254919	4.06872252054916e-190	3.17970664980917e-187	CPLM	1.445	1507	1498	1
Cyp7b1	type	wound	2.6489425025343	0.0843591016907422	6.88060621579256e-167	3.58479583842792e-164	CPLM	1.136	1507	824	45
App	type	wound	2.74510108770311	0.0900993558090784	3.2373832312756e-159	1.26500749762094e-156	CPLM	1.01	1507	590	61
Gm26917	type	wound	1.78176949935059	0.0605265895000553	8.14628445865443e-151	2.54652852177537e-148	CPLM	1.01	1507	1321	12
Tgfbr3	type	wound	2.11224319566243	0.0737141042394315	1.77642851071422e-144	4.62759627041055e-142	CPLM	1.01	1507	1098	27
St3gal4	type	wound	2.53481007530545	0.0943176662172663	2.83730087195912e-130	6.33528751838873e-128	CPLM	1.01	1507	668	56
Ptprj	type	wound	3.70805765210951	0.159730986608662	3.76557879354253e-102	7.35699956788372e-100	CPLM	1.01	1507	151	90
Alpk1	type	wound	3.51105023727178	0.160294595430225	1.54614032292917e-92	2.68513036082033e-90	CPLM	1.01	1507	162	89
Casp4	type	wound	3.06999202857364	0.143777284033218	1.40659536080619e-88	2.19850854894007e-86	CPLM	1.01	1507	228	85
Pdgfrb	type	wound	2.34367359585742	0.1133121005663	7.58537110279055e-84	1.07781227578742e-81	CPLM	1.01	1507	471	69
St6galnac5	type	wound	2.12720278330926	0.106005502441318	1.46374297626478e-79	1.90652522658487e-77	CPLM	1.112	1507	739	51
Atp8b1	type	wound	2.26758409585782	0.115026036114117	3.87067941605906e-77	4.65374763638485e-75	CPLM	1.01	1507	474	69
Prr16	type	wound	2.14770922521184	0.114868076694292	2.59915004777334e-70	2.90176537476409e-68	CPLM	1.01	1507	569	62
Tshz3	type	wound	3.10102122932866	0.17189579277686	5.11614408842336e-66	5.33102214013714e-64	CPLM	1.01	1507	186	88
Zdhhc1	type	wound	2.24473157868711	0.127142816982115	1.51009448633917e-63	1.47517355134258e-61	CPLM	1.01	1507	442	71
Antxr1	type	wound	1.45801268352777	0.0829817548110435	5.23922978669479e-63	4.81700950388468e-61	CPLM	1.01	1507	1096	27
Tshz2	type	wound	2.67665714832817	0.154330007986883	1.42004748250536e-61	1.23307456397549e-59	CPLM	1.01	1507	264	82
Cdk8	type	wound	1.60014124550551	0.09328952848283	2.25311082976722e-60	1.85348011943482e-58	CPLM	1.383	1507	1362	10
Sema5a	type	wound	2.23830104102389	0.141769953444458	4.4554285571974e-52	3.48191741744977e-50	CPLM	1.01	1507	383	75
Pcsk5	type	wound	2.33085394661044	0.150044174551452	1.37808261694833e-50	1.02568720490011e-48	CPLM	1.01	1507	325	78
Gm19951	type	wound	1.56419994820532	0.10173790526112	1.1692297840915e-49	8.3068461478864e-48	CPLM	1.01	1507	854	43
Dse	type	wound	1.8323919154661	0.119695801741865	2.81917801043815e-49	1.91581531752819e-47	CPLM	1.01	1507	678	55
