""	"pathway"	"pathway_members"	"pval"	"fdr"	"n"	"N"	"set_enrichment_score"
"W42"	"path:mmu03040"	"Tra2a;Ddx5;Hnrnpc;Srsf2;Srsf5;Snrnp70;Fus;Thoc2;Hnrnpu;Ddx39b;Acin1;Prpf38b;Rbm25;Srsf6;Hnrnpm;Sf3b1"	1.29444687472156e-08	3.26200612429832e-06	16	16	754
"W174"	"path:mmu04974"	"Col16a1;Col14a1;Col15a1;Col3a1;Col5a1;Col5a2;Col6a3;Col1a1;Col1a2;Dpp4;Eln;Slc1a5;Slc8a1;Col5a3;Slc16a10;Atp1a2"	0.00158496241189858	0.199705263899221	16	16	2428
"W136"	"path:mmu04742"	"Cacna1c;Plcb1;Plcb4"	0.0062962696217134	0.528886648223926	3	3	1622.5
"W29"	"path:mmu01100"	"Nat8f7;Acacb;Acaca;Pcca;Atp6v0b;Adcy9;Adk;Aldh1a1;Atp6v0a1;Bckdhb;Dnmt3a;Ext1;Fhit;Gda;Gfpt1;B4galt1;Gls;Glud1;Large1;Man1a;Man2a1;Nsd1;P4ha2;Pafah1b1;Pik3ca;Pip4k2a;Plcb1;Plcb4;Pld1;Plpp1;Pten;Ash1l;St3gal3;St3gal1;St3gal4;Sgms1;Adcy2;Inpp5a;Dse;Galnt17;Kmt2a;Aldh1l2;Gmds;Xdh;Kmt5b;Man1c1;Kmt2c;Xylt1;Nsd3;Setd2;Pde4d;Mgll;Gphn;St6galnac5;Acss3;Fut8;Pde3a;Oxct1;Plpp3;Kmt2e;Smyd3;Cers5;Camkmt;Plce1;Mtmr3;Acyp2;Upp2;Nt5c2;Ehmt1;Chsy3;Nat8f3;Dpyd"	0.0138753688190016	0.81693300896673	72	72	23959
"W38"	"path:mmu03013"	"Kpna4;Ranbp2;Tnpo1;Thoc2;Srrm1;Ddx39b;Acin1"	0.0201799483053749	0.81693300896673	7	7	967.5
"W216"	"path:mmu05202"	"Jmjd1c;Supt3;Birc3;Runx1t1;Ddx5;Etv6;Ewsr1;Ptk2;Hpgd;Igf1r;Maf;Mef2c;Meis1;Mitf;Aff1;Nfkb1;Pbx1;Cdk14;Ncor1;Kmt2a;Zeb1;Tgfbr2;Uty;Fus;Zbtb16;Fut8;Gria3;Foxo1;Bcl11b;Taf15"	0.0245826340838259	0.81693300896673	30	30	6412
"W131"	"path:mmu04726"	"Braf;App;Cacna1c;Gnaq;Gnas;Gnb1;Gng12;Prkca;Prkcb;Plcb1;Plcb4;Mapk1"	0.0295556963372698	0.81693300896673	12	12	4634
"W84"	"path:mmu04260"	"Cacna1c;Cacna2d1;Slc8a1;Slc9a1;Asph;Trdn;Atp1a2"	0.0302723343037386	0.81693300896673	7	7	2919.5
"W175"	"path:mmu04975"	"Abca1;Plpp1;Plpp3"	0.032983136685153	0.81693300896673	3	3	242.5
"W246"	"path:mmu05412"	"Cacna1c;Cacna2d1;Ctnna1;Dag1;Dmd;Lama2;Slc8a1;Tcf7l1;Tcf7l2;Ctnna3;Sgcd"	0.0359688523689726	0.81693300896673	11	11	4254.5
"W68"	"path:mmu04136"	"Ulk2;Atg10;Rptor"	0.0359922552817277	0.81693300896673	3	3	1442.5
"W6"	"path:mmu00280"	"Pcca;Bckdhb;Oxct1"	0.0395695987790288	0.81693300896673	3	3	1431.5
"W244"	"path:mmu05323"	"Atp6v0b;Atp6v0a1;Tgfb2"	0.0464595475331751	0.81693300896673	3	3	282.5
"W198"	"path:mmu05143"	"Gnaq;Lama4;Prkca;Prkcb;Plcb1;Plcb4"	0.0530930198638442	0.81693300896673	6	6	2473
"W93"	"path:mmu04371"	"Prkag2;Adcy9;Gnaq;Gnb1;Gng12;Smad3;Mef2a;Mef2c;Nrf1;Prkce;Plcb1;Plcb4;Slc8a1;Slc9a1;Hdac4;Adcy2;Tgfbr1;Akt3;Mapk1"	0.0568893725223551	0.81693300896673	19	19	6745.5
"W19"	"path:mmu00562"	"Pik3ca;Pip4k2a;Plcb1;Plcb4;Pten;Inpp5a;Plce1;Mtmr3"	0.059717206444038	0.81693300896673	8	8	3136
"W128"	"path:mmu04723"	"Adcy9;Cacna1c;Gnaq;Gnb1;Gng12;Gria4;Prkca;Prkcb;Plcb1;Plcb4;Adcy2;Mgll;Mapk1;Mapk14;Gria3"	0.0646644719068767	0.81693300896673	15	15	5421.5
"W4"	"path:mmu00240"	"Upp2;Nt5c2;Dpyd"	0.0663590841700532	0.81693300896673	3	3	1368.5
"W98"	"path:mmu04512"	"Col6a3;Col1a1;Col1a2;Dag1;Fn1;Cd47;Lama2;Lama4;Lamc1;Tnxb"	0.0712212288478386	0.81693300896673	10	10	1885
"W86"	"path:mmu04270"	"Cald1;Braf;Adcy9;Cacna1c;Gnaq;Gnas;Ppp1r12a;Prkca;Prkcb;Prkce;Plcb1;Plcb4;Prkg1;Rock1;Rock2;Adcy2;Arhgef11;Mapk1;Ppp1r12b;Arhgef12"	0.0730629963293989	0.81693300896673	20	20	6982
"W123"	"path:mmu04713"	"Camk2d;Adcy9;Cacna1c;Camk2a;Gnaq;Gnas;Gnb1;Gng12;Gria4;Prkca;Prkcb;Plcb1;Plcb4;Prkg1;Adcy2;Mapk1;Gria3"	0.0850217194556307	0.81693300896673	17	17	5979.5
"W94"	"path:mmu04380"	"Fyn;Gab2;Il1r1;Jak1;Mitf;Nfkb1;Pik3ca;Pik3r1;Ppp3ca;Ppp3cb;Tgfb2;Tgfbr1;Tgfbr2;Akt3;Mapk1;Mapk14"	0.0897437574984643	0.81693300896673	16	16	3396
"W27"	"path:mmu00970"	"Lars2;Fars2"	0.097272709538458	0.81693300896673	2	2	949
"W99"	"path:mmu04514"	"Cd34;Cdh4;Sdc2;Ncam2;Neo1;Ptprd;Ptprm;Glg1;Nrcam;Negr1"	0.0996393207001995	0.81693300896673	10	10	3683
"W67"	"path:mmu04130"	"Vti1a;Stx8"	0.103534561173725	0.81693300896673	2	2	942
"W15"	"path:mmu00532"	"Dse;Xylt1;Ust;Chsy3"	0.120663724918087	0.81693300896673	4	4	1639
"W51"	"path:mmu04020"	"Phkb;Camk2d;Adcy9;Cacna1c;Camk2a;Egfr;Fgfr1;Fgfr2;Gnaq;Gnas;P2rx4;Pdgfrb;Prkca;Prkcb;Plcb1;Plcb4;Ppp3ca;Ppp3cb;Slc8a1;Stim1;Adcy2;Mcu;Asph;Atp2b1;Pdgfd;Plce1;Trdn"	0.12400974186378	0.81693300896673	27	27	8963.5
"W208"	"path:mmu05165"	"Atp6v0b;Apc;Atp6v0a1;Cdc42;Col6a3;Col1a1;Col1a2;Crebbp;Dlg1;Egfr;Ptk2;Fn1;Gnas;Magi1;Jak1;Lama2;Lama4;Nfkb1;Pdgfrb;Pik3ca;Pik3r1;Pten;Rbpj;Sos2;Tcf7l1;Tcf7l2;Traf3;Ube3a;Lamc1;Creb5;Ppp2r3a;Akt3;Mapk1;Creb3l1;Ppp2r5c;Ppp2r5e;Maml2;Maml3;Foxo1;Gsk3b;Tnxb;Csnk1a1;Pard3"	0.125438042457915	0.81693300896673	43	43	10445.5
"W243"	"path:mmu05322"	"C7;Actn4"	0.128547052451533	0.81693300896673	2	2	213
"W56"	"path:mmu04064"	"Erc1;Birc3;Xiap;Cflar;Eda;Il1r1;Nfkb1;Prkcb;Traf3"	0.129940435386272	0.81693300896673	9	9	3290.5
"W245"	"path:mmu05410"	"Prkag2;Cacna1c;Cacna2d1;Dag1;Dmd;Lama2;Slc8a1;Tgfb2;Ttn;Sgcd"	0.1319575201511	0.81693300896673	10	10	3610
"W1"	"path:mmu00190"	"Atp6v0b;Atp6v0a1"	0.132952336340436	0.81693300896673	2	2	217
"W37"	"path:mmu02010"	"Abca1;Abcc4;Abcc5"	0.134298599838776	0.81693300896673	3	3	422.5
"W18"	"path:mmu00561"	"Plpp1;Mgll;Plpp3"	0.137072447468289	0.81693300896673	3	3	425.5
"W59"	"path:mmu04070"	"Pik3ca;Pik3r1;Pip4k2a;Prkca;Prkcb;Plcb1;Plcb4;Pten;Inpp5a;Ip6k1;Plce1;Mtmr3"	0.145175071400121	0.81693300896673	12	12	4223
