feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
Trim63	type	wound	3.25924826106023	0.162283120296493	2.11007592546202e-65	3.02373880118707e-62	CPLM	1.192	477	234	51
Arl6ip5	type	wound	2.97194041537457	0.200072360056566	2.86769196443462e-41	2.0547012925174e-38	CPLM	1.01	477	148	69
Myl1	type	wound	2.35771520956759	0.162452300030373	9.12504393992331e-40	4.35872932197003e-37	CPLM	1.229	477	311	35
Malat1	type	wound	-1.19487073640864	0.0826420653961218	1.58812146226811e-39	5.68944513857551e-37	CPLM	1.591	477	475	0
Ptprj	type	wound	3.54874208086519	0.255906778429374	5.87985532373139e-37	1.68516653578142e-34	CPLM	1.01	477	65	86
Tacc2	type	wound	1.87042898626203	0.140677971905369	1.6225935390205e-34	3.87529423569396e-32	CPLM	1.247	477	397	17
Gm26917	type	wound	1.79404714993204	0.13880978503051	5.90856124531897e-33	1.20956689493458e-30	CPLM	1.319	477	445	7
Ttn	type	wound	-3.3760178064136	0.264223149061616	2.42854740217074e-32	4.35013553413833e-30	CPLM	1.451	477	440	8
Nkain2	type	wound	4.15606984345151	0.331075631761106	2.04963501000638e-31	3.26347441037682e-29	CPLM	1.105	477	49	90
Atp1a2	type	wound	1.72374392762732	0.145166620299046	1.17553273452092e-28	1.68453840856848e-26	CPLM	1.01	477	406	15
Camk2a	type	wound	2.14113438555504	0.181372295567699	2.21982697760973e-28	2.89182914446795e-26	CPLM	1.01	477	259	46
App	type	wound	2.99231185255659	0.254367003894463	3.24754482683766e-28	3.8781097807153e-26	CPLM	1.01	477	114	76
Rbfox1	type	wound	1.30802991316249	0.11835391928135	1.99779359486291e-25	2.20218324726042e-23	CPLM	1.21	477	430	10
1700012D14Rik	type	wound	2.22506561335077	0.209255373839441	7.82871165023208e-24	8.01324556770183e-22	CPLM	1.01	477	171	64
Gm10801	type	wound	9.94055870148061	0.943728541572208	1.85678576443768e-23	1.77384933362613e-21	CPLM	1.24	477	49	90
Cyfip1	type	wound	2.92808547451244	0.286388706490268	2.5989651502293e-22	2.32769816267412e-20	CPLM	1.01	477	63	87
Cdk8	type	wound	1.85466974754698	0.18602991877639	2.19844947814544e-21	1.85316358951907e-19	CPLM	1.462	477	432	9
Ttll11	type	wound	2.56931038749269	0.269425377184554	7.71717406902127e-20	6.14372802272638e-18	CPLM	1.01	477	89	81
Anxa2	type	wound	3.19541024642796	0.33871003000075	1.75894986868422e-19	1.32661850622341e-17	CPLM	1.01	477	48	90
Gm19951	type	wound	1.67710316672996	0.180244854678156	4.9528138257573e-19	3.5486911061551e-17	CPLM	1.01	477	326	32
Tgfbi	type	wound	2.92926661803471	0.317823651458836	9.95059531766655e-19	6.79009670962675e-17	CPLM	1.01	477	76	84
Tom1l2	type	wound	1.85733817251652	0.203528240705597	2.03765032768814e-18	1.3272513270805e-16	CPLM	1.01	477	221	54
Macf1	type	wound	1.77587499624605	0.196625735340458	4.25120263198197e-18	2.64868407462181e-16	CPLM	1.01	477	216	55
Arhgap24	type	wound	2.52917911415862	0.284131085980657	1.1687381327432e-17	6.97834060092087e-16	CPLM	1.01	477	106	78
Yars	type	wound	2.6814970226237	0.304690956621269	2.53664630653512e-17	1.45400566290593e-15	CPLM	1.01	477	93	81
Lsamp	type	wound	3.01426652266964	0.352239875004166	1.60672118821667e-16	8.85550562582496e-15	CPLM	1.01	477	53	89
Snx4	type	wound	2.962899069335	0.347980495926031	2.21598142207627e-16	1.17611162142048e-14	CPLM	1.01	477	48	90
Kdm4b	type	wound	2.83775716411141	0.337497935587998	4.89478172268998e-16	2.50507936021955e-14	CPLM	1.01	477	53	89
Hipk2	type	wound	2.12288028562368	0.259228531699836	2.4477249850394e-15	1.20951375984878e-13	CPLM	1.01	477	117	75
Htr1f	type	wound	2.70659555204168	0.332264103067146	3.35286208111584e-15	1.60155045407966e-13	CPLM	1.01	477	48	90
Mybpc2	type	wound	1.65859916012171	0.211080637880397	2.63919229375029e-14	1.21998792159489e-12	CPLM	1.147	477	257	46
Gphn	type	wound	1.12995893787634	0.144140823087657	3.0048026361117e-14	1.34558818048377e-12	CPLM	1.01	477	391	18
Nav2	type	wound	1.41015246557833	0.188987151882763	4.10436776137619e-13	1.78229060668245e-11	CPLM	1.01	477	291	39
Pigu	type	wound	2.22697231806641	0.30261155049316	8.2031947060518e-13	3.4574052981683e-11	CPLM	1.01	477	77	84
Smad3	type	wound	1.88362051741285	0.269987590663093	1.01968702102673e-11	4.17489000323229e-10	CPLM	1.01	477	133	72
Neb	type	wound	-2.57066779341918	0.386679568793713	8.1743817567875e-11	3.25385807152125e-09	CPLM	1.207	477	419	12
St3gal4	type	wound	2.65648526601157	0.400273909023043	8.77336588701785e-11	3.39790089624232e-09	CPLM	1.01	477	57	88
Agbl1	type	wound	-1.77283049291785	0.274545190025974	2.63797838359335e-10	9.94795532549807e-09	CPLM	1.429	477	414	13
Limch1	type	wound	1.13998461441505	0.179826529868587	5.37173544497594e-10	1.97376843401295e-08	CPLM	1.01	477	349	27
Fgfr2	type	wound	1.61486307988854	0.257063145342766	7.5630063005249e-10	2.70944700716305e-08	CPLM	1.01	477	173	64
